AU	DE	ID	C1	JI	RP	DI	BE	BN	SN	SO	LA	TC	PN	PP	PU	DB	TI	DT	VL	PY	J9	CR	AU_UN	AU1_UN	AU_UN_NR	SR_FULL	SR
RAJABZADEH A M;SALMASIZADEH M;AREF M	CODE-BASED SIGNATURES; CODING THEORY; DESIGNATED VERIFIER SIGNATURE; PROVABLE SECURITY; RANDOM ORACLE MODEL; SIGNATURES WITH MESSAGE RECOVERY	AUTHENTICATION; COMPUTER PROGRAMMING; CRYPTOGRAPHY; ELECTRONIC DOCUMENT IDENTIFICATION SYSTEMS; NETWORK SECURITY; RECOVERY; CODE-BASED SIGNATURES; CODING THEORY; DESIGNATED VERIFIER SIGNATURES; MESSAGE RECOVERY; PROVABLE SECURITY; RANDOM ORACLE MODEL; CODES (SYMBOLS)	DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING, SCIENCE AND RESEARCH BRANCH, ISLAMIC AZAD UNIVERSITY, TEHRAN, IRAN; ELECTRONICS RESEARCH INSTITUTE (CENTER), SHARIF UNIVERSITY OF TECHNOLOGY, TEHRAN, IRAN; DEPARTMENT OF ELECTRICAL ENGINEERING, SHARIF UNIVERSITY OF TECHNOLOGY, TEHRAN, IRAN	INT J COMMUN SYST	M. RAJABZADEH ASAAR; DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING, SCIENCE AND RESEARCH BRANCH, ISLAMIC AZAD UNIVERSITY, TEHRAN, IRAN; EMAIL: ASAAR@SRBIAU.AC.IR	10.1002/dac.3519	NA	NA	10745351	INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS	ENGLISH	0	6	NA	JOHN WILEY AND SONS LTD	ISI	A PROVABLY SECURE CODEBASED SHORT SIGNATURE SCHEME AND ITS NONTRANSFERABLE VARIANT	ARTICLE	31	2018	INT J COMMUN SYST	none	ISLAMIC AZAD UNIVERSITY;SHARIF UNIVERSITY OF TECHNOLOGY;SHARIF UNIVERSITY OF TECHNOLOGY	NOTREPORTED;ISLAMIC AZAD UNIVERSITY;NOTREPORTED	NA	RAJABZADEH ASAAR M, 2018, INT J COMMUN SYST	RAJABZADEH ASAAR M, 2018, INT J COMMUN SYST
SHAKIBA N;DOOSTARI M;MOHAMMADPOURFARD M	COLLUSION; ELECTRONIC (INTERNET)-VOTING; FAIRNESS; JAVA CARD 3; NON-COERCIBILITY; SIMULTANEOUS ELECTION	CYBERSECURITY; ELECTRONIC VOTING; INFORMATION SERVICES; NETWORK SECURITY; ONLINE SYSTEMS; VOTING MACHINES; COLLUSION; ELECTRONIC (INTERNET)-VOTING; END TO END; FAIRNESS; INTERNET VOTING; INTERNET VOTING SYSTEM; JAVA CARD; JAVA CARD 3; NON-COERCIBILITY; SIMULTANEOUS ELECTION; HTTP	INFORMATION SECURITY AND E-VOTING RESEARCH LABORATORY, DEPARTMENT OF ELECTRONIC AND COMPUTER SCIENCE, SHAHED UNIVERSITY, TEHRAN, IRAN; SCHOOL OF ELECTRICAL AND COMPUTER ENGINEERING, SHIRAZ UNIVERSITY, SHIRAZ, IRAN	ELECTRON. COMMER. RES.	N.M. SHAKIBA; INFORMATION SECURITY AND E-VOTING RESEARCH LABORATORY, DEPARTMENT OF ELECTRONIC AND COMPUTER SCIENCE, SHAHED UNIVERSITY, TEHRAN, IRAN; EMAIL: NAFISE_SHAKIBA@YAHOO.COM	10.1007/s10660-016-9230-y	NA	NA	13895753	ELECTRONIC COMMERCE RESEARCH	ENGLISH	2	3	463 – 494	SPRINGER SCIENCE AND BUSINESS MEDIA, LLC	ISI	ESIV AN ENDTOEND SECURE INTERNET VOTING SYSTEM	ARTICLE	17	2017	ELECTRON COMMER RES	none	SHAHED UNIVERSITY;SHIRAZ UNIVERSITY	NOTREPORTED;SHAHED UNIVERSITY;NOTREPORTED	NA	SHAKIBA NM, 2017, ELECTRON COMMER RES	SHAKIBA NM, 2017, ELECTRON COMMER RES
CORTIER V;EIGNER F;KREMER S;MAFFEI M;WIEDLING C	NA	AUTOMATION; CRYPTOGRAPHY; MOBILE SECURITY; SOCIAL NETWORKING (ONLINE); THEOREM PROVING; VOTING MACHINES; AUTOMATED THEOREM PROVER; AUTOMATED VERIFICATION; CRYPTOGRAPHIC PRIMITIVES; ELECTRONIC VOTING PROTOCOLS; FUNDAMENTAL PROPERTIES; HO-MOMORPHIC ENCRYPTIONS; PRE AND POST CONDITIONS; SECURITY-CRITICAL CODES; INTERNET PROTOCOLS	LORIA, CNRS AND INRIA AND UNIVERSITY OF LORRAINE, FRANCE; CISPA, SAARLAND UNIVERSITY, GERMANY; UNIVERSITÉ CATHOLIQUE DE LOUVAIN, BELGIUM	LECT. NOTES COMPUT. SCI.	NA	10.1007/978-3-662-46666-7_16	MYERS A. AND FOCARDI R.	978-366246665-0	03029743	LECTURE NOTES IN COMPUTER SCIENCE (INCLUDING SUBSERIES LECTURE NOTES IN ARTIFICIAL INTELLIGENCE AND LECTURE NOTES IN BIOINFORMATICS)	ENGLISH	17	NA	303 – 323	SPRINGER VERLAG	ISI	TYPEBASED VERIFICATION OF ELECTRONIC VOTING PROTOCOLS	ARTICLE	9036	2015	LECT NOTES COMPUT SCI	none	CNRS AND INRIA AND UNIVERSITY OF LORRAINE;SAARLAND UNIVERSITY;UNIVERSITÉ CATHOLIQUE DE LOUVAIN	CNRS AND INRIA AND UNIVERSITY OF LORRAINE;SAARLAND UNIVERSITY;UNIVERSITÉ CATHOLIQUE DE LOUVAIN	NA	CORTIER V, 2015, LECT NOTES COMPUT SCI	CORTIER V, 2015, LECT NOTES COMPUT SCI
BORGES F;MUHLHAUSER M	HOMOMORPHIC ENCRYPTION; PRIVACY; PROTOCOL; SECURITY; SMART GRID; TIME SERIES	NETWORK PROTOCOLS; TIME SERIES; HO-MOMORPHIC ENCRYPTIONS; PRIVACY-PRESERVING PROTOCOLS; REAL-WORLD; SECURITY; SMART GRID; SMART METERING; DATA PRIVACY	TECHNISCHE UNIVERSITÄT DARMSTADT, DARMSTADT, D-64289, GERMANY	IEEE TRANS. SMART GRID	NA	10.1109/TSG.2014.2336265	NA	NA	19493053	IEEE TRANSACTIONS ON SMART GRID	ENGLISH	38	6	2701 – 2708	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	EPPP4SMS EFFICIENT PRIVACYPRESERVING PROTOCOL FOR SMART METERING SYSTEMS AND ITS SIMULATION USING REALWORLD DATA	ARTICLE	5	2014	IEEE TRANS SMART GRID	none	TECHNISCHE UNIVERSITÄT DARMSTADT	TECHNISCHE UNIVERSITÄT DARMSTADT	NA	BORGES F, 2014, IEEE TRANS SMART GRID	BORGES F, 2014, IEEE TRANS SMART GRID
DAI S;JIANG Z;ZHANG F	BILINEAR PAIRINGS; BLIND SIGNATURE; E-COMMERCE.; LEAKAGE-RESILIENT; PARTIALLY BLIND SIGNATURE	ELECTRONIC COMMERCE; ELECTRONIC VOTING; NETWORK SECURITY; PUBLIC KEY CRYPTOGRAPHY; BILINEAR PAIRING; BLIND SIGNATURE SCHEME; BLIND SIGNATURES; CONTINUAL LEAKAGES; FORMAL DEFINITION; LEAKAGE INFORMATION; PARTIALLY BLIND SIGNATURE SCHEME; PARTIALLY BLIND SIGNATURES; AUTHENTICATION	SCHOOL OF INFORMATION SCIENCE AND TECHNOLOGY, SUN YAT-SEN UNIVERSITY, GUANGZHOU, GUANGDONG, 510006, CHINA; GUANGDONG KEY LABORATORY OF INFORMATION SECURITY TECHNOLOGY, GUANGZHOU, GUANGDONG, 510006, CHINA	INT. J. EMBEDDED SYST.	F. ZHANG; SCHOOL OF INFORMATION SCIENCE AND TECHNOLOGY, SUN YAT-SEN UNIVERSITY, GUANGZHOU, GUANGDONG, 510006, CHINA; EMAIL: ISSZHFG@MAIL.SYSU.EDU.CN	10.1504/IJES.2018.089433	NA	NA	17411068	INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS	ENGLISH	1	1	52 – 61	INDERSCIENCE PUBLISHERS	ISI	EFFICIENT LEAKAGERESILIENT BLIND AND PARTIALLY BLIND SIGNATURES	ARTICLE	10	2018	INT J EMBEDDED SYST	none	SUN YAT-SEN UNIVERSITY;GUANGDONG KEY LABORATORY OF INFORMATION SECURITY TECHNOLOGY	NOTREPORTED;SUN YAT-SEN UNIVERSITY;NOTREPORTED	NA	DAI S, 2018, INT J EMBEDDED SYST	DAI S, 2018, INT J EMBEDDED SYST
JIN C;CHEN G;YU C;ZHAO J;JIN Y;SHAN J	DENIABLE AUTHENTICATION; E-VOTING SYSTEM; HETEROGENEOUS SYSTEM; SECURITY	AUTHENTICATION; PUBLIC KEY CRYPTOGRAPHY; VOTING MACHINES; CERTIFICATELESS CRYPTOGRAPHIES; COMPREHENSIVE ANALYSIS; DENIABLE AUTHENTICATION; E-VOTING SYSTEMS; ELECTRONIC VOTING (E-VOTING) SYSTEMS; HETEROGENEOUS SYSTEMS; PUBLIC-KEY INFRASTRUCTURE; SECURITY; ELECTRONIC VOTING	FACULTY OF COMPUTER AND SOFTWARE ENGINEERING, HUAIYIN INSTITUTE OF TECHNOLOGY, HUAI'AN, 233003, CHINA	J. INF. SECUR. APPL.	C. JIN; FACULTY OF COMPUTER AND SOFTWARE ENGINEERING, HUAIYIN INSTITUTE OF TECHNOLOGY, HUAI'AN, 233003, CHINA; EMAIL: XAJCH0206@163.COM	10.1016/j.jisa.2019.04.009	NA	NA	22142134	JOURNAL OF INFORMATION SECURITY AND APPLICATIONS	ENGLISH	8	NA	104 – 111	ELSEVIER LTD	ISI	HETEROGENEOUS DENIABLE AUTHENTICATION AND ITS APPLICATION TO EVOTING SYSTEMS	ARTICLE	47	2019	J INF SECUR APPL	none	HUAIYIN INSTITUTE OF TECHNOLOGY	NOTREPORTED;HUAIYIN INSTITUTE OF TECHNOLOGY;NOTREPORTED	NA	JIN C, 2019, J INF SECUR APPL	JIN C, 2019, J INF SECUR APPL
BERGHEL H	BALLOT; CRYPTOGRAPHY; ELECTIONS; HISTORY OF COMPUTING; OUT OF BAND; SECURITY; VOTING	COMPUTER SCIENCE; COMPUTERS; CRYPTOGRAPHY; BALLOT; ELECTIONS; HISTORY OF COMPUTING; OUT OF BAND; SECURITY; VOTING; VOTING MACHINES	UNIVERSITY OF NEVADA, LAS VEGAS, UNITED STATES	COMPUTER	H. BERGHEL; UNIVERSITY OF NEVADA, LAS VEGAS, UNITED STATES; EMAIL: HLB@COMPUTER.ORG	10.1109/MC.2016.306	NA	NA	00189162	COMPUTER	ENGLISH	1	10	84 – 89	IEEE COMPUTER SOCIETY	ISI	DOUGLAS JONES ON TODAYS VOTING MACHINES	ARTICLE	49	2016	COMPUTER	none	UNIVERSITY OF NEVADA	NOTREPORTED;UNIVERSITY OF NEVADA;NOTREPORTED	NA	BERGHEL H, 2016, COMPUTER	BERGHEL H, 2016, COMPUTER
SUBASHKA R S;VENKATARAJA D;NIKHIL B R;SANTHOSH K M;SANTHOSH S	BLOCK CHAIN; E-VOTING; ENCRYPTION	NA	COMPUTER SCIENCE & ENGINEERING, SRM INSTITUTE OF SCIENCE & TECHNOLOGY, RAMAPURAM, CHENNAI, 600089, INDIA	INT. J. ENG. ADV. TECHNOL.	NA	NA	NA	NA	22498958	INTERNATIONAL JOURNAL OF ENGINEERING AND ADVANCED TECHNOLOGY	ENGLISH	12	5	107 – 109	BLUE EYES INTELLIGENCE ENGINEERING AND SCIENCES PUBLICATION	ISI	EVOTING BASED ON BLOCK CHAIN TECHNOLOGY	ARTICLE	8	2019	INT J ENG ADV TECHNOL	none	SRM INSTITUTE OF SCIENCE AND TECHNOLOGY	SRM INSTITUTE OF SCIENCE AND TECHNOLOGY	NA	SUBASHKA RAMESH S, 2019, INT J ENG ADV TECHNOL	SUBASHKA RAMESH S, 2019, INT J ENG ADV TECHNOL
YANG X;YI X;NEPAL S;KELAREV A;HAN F	END-TO-END VERIFICATION; HOMOMORPHIC ENCRYPTION; HOMOMORPHISM TALLY; ONLINE VOTING; PRIVACY PRESERVATION	DATA PRIVACY; SERVERS; VOTING MACHINES; ELECTRONIC VOTING; END-TO-END VERIFICATIONS; HO-MOMORPHIC ENCRYPTIONS; HOMOMORPHISM TALLY; ONLINE VOTING; PRIVACY PRESERVATION; CRYPTOGRAPHY	SCHOOL OF SCIENCE, RMIT UNIVERSITY, MELBOURNE, 3000, VIC, AUSTRALIA; DATA61, CSIRO, ARMIDALE, 2350, NSW, AUSTRALIA	IEEE ACCESS	X. YANG; SCHOOL OF SCIENCE, RMIT UNIVERSITY, MELBOURNE, 3000, AUSTRALIA; EMAIL: XUECHAO.YANG@RMIT.EDU.AU	10.1109/ACCESS.2018.2817518	NA	NA	21693536	IEEE ACCESS	ENGLISH	45	NA	20506 – 20519	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	A SECURE VERIFIABLE RANKED CHOICE ONLINE VOTING SYSTEM BASED ON HOMOMORPHIC ENCRYPTION	ARTICLE	6	2018	IEEE ACCESS	none	RMIT UNIVERSITY	NOTREPORTED;RMIT UNIVERSITY;NOTREPORTED	NA	YANG X, 2018, IEEE ACCESS	YANG X, 2018, IEEE ACCESS
NEJI W;BLIBECH K;RAJEB N	ELECTRONIC VOTING; RECEIPT-FREENESS; SECRET SHARING; ZERO-KNOWLEDGE PROOFS	ELECTRONIC VOTING; ENGINES; VOTING MACHINES; COMPUTATIONAL COSTS; ELECTRONIC VOTING PROTOCOLS; ENCRYPTION FUNCTION; RANDOMISATION TECHNIQUES; RECEIPT-FREENESS; SECRET SHARING; SECURE ELECTRONIC VOTING; ZERO KNOWLEDGE PROOF; CRYPTOGRAPHY	LABORATORY LIP2, GENERAL DIRECTORATE OF TECHNOLOGICAL STUDIES, HIGHER INSTITUTE OF TECHNOLOGICAL STUDIES OF BEJA, TN, TUNISIA; LABORATORY LIP2, HIGHER INSTITUTE OF THE ENVIRONMENT, TOWN PLANNING AND BUILDING TECHNOLOGIES, TUNISIA UNIVERSITY OF CARTHAGE, TN, TUNISIA; LABORATORY LIP2, NATIONAL INSTITUTE OF APPLIED SCIENCE AND TECHNOLOGY, UNIVERSITY OF CARTHAGE, TN, TUNISIA	INT. J. SECUR. NETW.	W. NEJI; LABORATORY LIP2, GENERAL DIRECTORATE OF TECHNOLOGICAL STUDIES, HIGHER INSTITUTE OF TECHNOLOGICAL STUDIES OF BEJA, TN, TUNISIA; EMAIL: WAFA.NEJI@GMAIL.COM	10.1504/IJSN.2018.090649	NA	NA	17478405	INTERNATIONAL JOURNAL OF SECURITY AND NETWORKS	ENGLISH	1	1	20 – 26	INDERSCIENCE PUBLISHERS	ISI	A SECURE ELECTRONIC VOTING PROTOCOL WITH A SIMPLE BALLOTS ENCRYPTION FUNCTION	ARTICLE	13	2018	INT J SECUR NETW	none	TN;TN;TN	NOTREPORTED;HIGHER INSTITUTE OF TECHNOLOGICAL STUDIES OF BEJA;NOTREPORTED	NA	NEJI W, 2018, INT J SECUR NETW	NEJI W, 2018, INT J SECUR NETW
SINGH A;KUMAR B;SINGH S;GHRERA S;MOHAN A	BACK PROPAGATION NEURAL NETWORK; ECCS; IMAGE AND TEXT WATERMARK; INFORMATION SECURITY AND PRIVACY; MULTIMEDIA APPLICATIONS; ONLINE SOCIAL NETWORK; SELECTIVE ENCRYPTION	BACKPROPAGATION; CRYPTOGRAPHY; DIGITAL STORAGE; DISCRETE WAVELET TRANSFORMS; DRIVER TRAINING; EMBEDDED SYSTEMS; IMAGE ENHANCEMENT; IMAGE QUALITY; IMAGE WATERMARKING; INSURANCE; NEURAL NETWORKS; ONLINE SYSTEMS; SIGNAL RECONSTRUCTION; SOCIAL NETWORKING (ONLINE); TORSIONAL STRESS; VOTING MACHINES; WATERMARKING; BACK PROPAGATION NEURAL NETWORKS; ECCS; MULTIMEDIA APPLICATIONS; ON-LINE SOCIAL NETWORKS; SELECTIVE ENCRYPTION; NETWORK SECURITY	DEPARTMENT OF COMPUTER SCIENCE & ENGINEERING, JAYPEE UNIVERSITY OF INFORMATION TECHNOLOGY WAKNAGHAT, SOLAN, HIMACHAL PRADESH, INDIA; DEPARTMENT OF ELECTRONICS & COMM. ENGINEERING, MOTILAL NEHRU NATIONAL INSTITUTE OF TECHNOLOGY, ALLAHABAD, UTTAR PRADESH, INDIA; DEPARTMENT OF COMPUTER SCIENCE & ENGINEERING INDIAN INSTITUTE OF TECHNOLOGY (BHU), VARANASI, UTTAR PRADESH, INDIA; DEPARTMENT OF ELECTRONICS ENGINEERING, INDIAN INSTITUTE OF TECHNOLOGY (BHU), VARANASI, UTTAR PRADESH, INDIA	FUTURE GENER COMPUT SYST	A.K. SINGH; DEPARTMENT OF COMPUTER SCIENCE & ENGINEERING, JAYPEE UNIVERSITY OF INFORMATION TECHNOLOGY WAKNAGHAT, SOLAN, INDIA; EMAIL: AMIT_245SINGH@YAHOO.COM	10.1016/j.future.2016.11.023	NA	NA	0167739X	FUTURE GENERATION COMPUTER SYSTEMS	ENGLISH	115	NA	926 – 939	ELSEVIER B.V.	ISI	MULTIPLE WATERMARKING TECHNIQUE FOR SECURING ONLINE SOCIAL NETWORK CONTENTS USING BACK PROPAGATION NEURAL NETWORK	ARTICLE	86	2018	FUTURE GENER COMPUT SYST	none	JAYPEE UNIVERSITY OF INFORMATION TECHNOLOGY WAKNAGHAT;MOTILAL NEHRU NATIONAL INSTITUTE OF TECHNOLOGY;DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING INDIAN INSTITUTE OF TECHNOLOGY (BHU);INDIAN INSTITUTE OF TECHNOLOGY (BHU)	NOTREPORTED;JAYPEE UNIVERSITY OF INFORMATION TECHNOLOGY WAKNAGHAT;NOTREPORTED	NA	SINGH AK, 2018, FUTURE GENER COMPUT SYST	SINGH AK, 2018, FUTURE GENER COMPUT SYST
MADAN C;SINHA A;SHARMA K	BLOCKCHAIN; GOVERNANCE; PRODUCTIONS COMPONENT; TRANSACTIONS	NA	DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, FET, MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH AND STUDIES, FARIDABAD, HARYANA, INDIA	INT. J. RECENT TECHNOL. ENG.	NA	NA	NA	NA	22773878	INTERNATIONAL JOURNAL OF RECENT TECHNOLOGY AND ENGINEERING	ENGLISH	3	5	NA	BLUE EYES INTELLIGENCE ENGINEERING AND SCIENCES PUBLICATION	ISI	SUCCESS OF BLOCKCHAIN AND BITCOIN	ARTICLE	7	2019	INT J RECENT TECHNOL ENG	none	MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH AND STUDIES	MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH AND STUDIES	NA	MADAN C, 2019, INT J RECENT TECHNOL ENG	MADAN C, 2019, INT J RECENT TECHNOL ENG
DENG L;JIANG Y;NING B	IDENTITY-BASED CRYPTOGRAPHY; LINKABLE; PAIRING; RANDOM ORACLE MODEL; RING SIGNATURE	AD HOC NETWORKS; NETWORK SECURITY; IDENTITY BASED CRYPTOGRAPHY; LINKABLE; PAIRING; RANDOM ORACLE MODEL; RING SIGNATURES; AUTHENTICATION	SCHOOL OF MATHEMATICAL SCIENCES, GUIZHOU NORMAL UNIVERSITY, GUIYANG, 550001, CHINA	IEEE ACCESS	L. DENG; SCHOOL OF MATHEMATICAL SCIENCES, GUIZHOU NORMAL UNIVERSITY, GUIYANG, 550001, CHINA; EMAIL: DENGLUNZHI@163.COM	10.1109/ACCESS.2019.2948972	NA	NA	21693536	IEEE ACCESS	ENGLISH	18	NA	153969 – 153976	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	IDENTITYBASED LINKABLE RING SIGNATURE SCHEME	ARTICLE	7	2019	IEEE ACCESS	none	GUIZHOU NORMAL UNIVERSITY	NOTREPORTED;GUIZHOU NORMAL UNIVERSITY;NOTREPORTED	NA	DENG L, 2019, IEEE ACCESS	DENG L, 2019, IEEE ACCESS
GAO S;ZHENG D;GUO R;JING C;HU C	ANTI-QUANTUM; AUDIT; BLOCKCHAIN; CERTIFICATELESS; E-VOTING	BLOCKCHAIN; EFFICIENCY; TRANSPARENCY; CERTIFICATELESS; CODE-BASED CRYPTOGRAPHY; E-VOTING PROTOCOLS; PERFORMANCE ANALYSIS; SOCIAL CONCERNS; TAMPER RESISTANT; VOTING ENVIRONMENT; VOTING PROCESS; ELECTRONIC VOTING	NATIONAL ENGINEERING LABORATORY FOR WIRELESS SECURITY, SCHOOL OF CYBERSPACE SECURITY, XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS, XI'AN, 710121, CHINA	IEEE ACCESS	S. GAO; NATIONAL ENGINEERING LABORATORY FOR WIRELESS SECURITY, SCHOOL OF CYBERSPACE SECURITY, XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS, XI'AN, 710121, CHINA; EMAIL: GAOSHIYAO719@163.COM	10.1109/ACCESS.2019.2935895	NA	NA	21693536	IEEE ACCESS	ENGLISH	54	NA	115304 – 115316	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	AN ANTIQUANTUM EVOTING PROTOCOL IN BLOCKCHAIN WITH AUDIT FUNCTION	ARTICLE	7	2019	IEEE ACCESS	none	XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS	NOTREPORTED;XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS;NOTREPORTED	NA	GAO S, 2019, IEEE ACCESS	GAO S, 2019, IEEE ACCESS
SATIZÁBAL C;PÁEZ R	CRYPTOGRAPHIC OPERATIONS; E-VOTING SYSTEMS; INTERNET VOTING PROTOCOLS; PROTOCOL PHASES; SECURITY	NA	LACSER (LABORATORY FOR ADVANCED COMPUTATIONAL SCIENCE AND ENGINEERING RESEARCH), UNIVERSIDAD ANTONIO NARIÑO, COLOMBIA; SIDRE, PONTIFICIA UNIVERSIDAD JAVERIANA, COLOMBIA	INT. J. COMMUN. NETWORKS. INF. SECUR.	NA	NA	NA	NA	20760930	INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND INFORMATION SECURITY	ENGLISH	1	2	305 – 322	KOHAT UNIVERSITY OF SCIENCE AND TECHNOLOGY	ISI	INTERNET VOTING PROTOCOLS AN ANALYSIS OF THE CRYPTOGRAPHIC OPERATIONS PER PHASE	ARTICLE	10	2018	INT J COMMUN NETWORKS INF SECUR	none	UNIVERSIDAD ANTONIO NARIÑO;PONTIFICIA UNIVERSIDAD JAVERIANA	UNIVERSIDAD ANTONIO NARIÑO;PONTIFICIA UNIVERSIDAD JAVERIANA	NA	SATIZÁBAL C, 2018, INT J COMMUN NETWORKS INF SECUR	SATIZÁBAL C, 2018, INT J COMMUN NETWORKS INF SECUR
WEI C;WEN C	BLOCKCHAIN; BLOCKCHAIN E-VOTING; DECENTRALIZED SYSTEM; ELECTRONIC VOTING	NA	FACULTY OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY, UNIVERSITY TUN HUSSEIN ONN MALAYSIA, MALAYSIA	INT. J. INFORM. VIS.	NA	10.30630/joiv.2.4-2.174	NA	NA	25499904	INTERNATIONAL JOURNAL ON INFORMATICS VISUALIZATION	ENGLISH	10	42	336 – 341	POLITEKNIK NEGERI PADANG	ISI	BLOCKCHAINBASED ELECTRONIC VOTING PROTOCOL	ARTICLE	2	2018	INT J INFORM VIS	none	UNIVERSITY TUN HUSSEIN ONN MALAYSIA	UNIVERSITY TUN HUSSEIN ONN MALAYSIA	NA	WEI CCZ, 2018, INT J INFORM VIS	WEI CCZ, 2018, INT J INFORM VIS
ZHU H;TAN Y;ZHU L;WANG X;ZHANG Q;LI Y	IDENTITY-BASED BLIND SIGNATURE; NTRU LATTICE; QUANTUM COMPUTER ATTACK; UNFORGEABILITY	BIG DATA; COMPUTER CRIME; DATA PRIVACY; DISTRIBUTED COMPUTER SYSTEMS; ELECTRONIC MONEY; NUMBER THEORY; PUBLIC KEY CRYPTOGRAPHY; QUANTUM COMPUTERS; QUANTUM THEORY; VOTING MACHINES; WIRELESS SENSOR NETWORKS; AUTHENTICATION PROTOCOLS; BLIND SIGNATURE SCHEME; BLIND SIGNATURES; E-VOTING SYSTEMS; NTRU LATTICE; PUBLIC KEY INFRASTRUCTURE; REJECTION SAMPLINGS; UNFORGEABILITY; AUTHENTICATION	SCHOOL OF COMPUTER SCIENCE AND TECHNOLOGY, BEIJING INSTITUTE OF TECHNOLOGY, BEIJING, 100081, CHINA; SCHOOL OF COMPUTER SCIENCE, GUANGZHOU UNIVERSITY, GUANGZHOU, 510006, CHINA	SENSORS	Y. LI; SCHOOL OF COMPUTER SCIENCE AND TECHNOLOGY, BEIJING INSTITUTE OF TECHNOLOGY, BEIJING, 100081, CHINA; EMAIL: POPULAR@BIT.EDU.CN	10.3390/s18051663	NA	NA	14248220	SENSORS (SWITZERLAND)	ENGLISH	26	5	NA	MDPI AG	ISI	AN IDENTITYBASED ANTIQUANTUM PRIVACYPRESERVING BLIND AUTHENTICATION IN WIRELESS SENSOR NETWORKS	ARTICLE	18	2018	SENSORS	none	SCHOOL OF COMPUTER SCIENCE AND TECHNOLOGY;GUANGZHOU UNIVERSITY	NOTREPORTED;SCHOOL OF COMPUTER SCIENCE AND TECHNOLOGY;NOTREPORTED	NA	ZHU H, 2018, SENSORS	ZHU H, 2018, SENSORS
JIN C;CHEN G;ZHAO J;GAO S;YU C	NA	ELECTRONIC VOTING; PUBLIC KEY CRYPTOGRAPHY; AUTHENTICATED ENCRYPTION; DENIABLE AUTHENTICATION; E-VOTING SYSTEMS; IDENTITY-BASED; PERFORMANCE ANALYSIS; PUBLIC KEY CERTIFICATES; PUBLIC-KEY INFRASTRUCTURE; USER PRIVACY; AUTHENTICATION	FACULTY OF COMPUTER & SOFTWARE ENGINEERING, HUAIYIN INSTITUTE OF TECHNOLOGY, HUAIAN, 233003, CHINA	KSII TRANS. INTERNET INF. SYST.	G. CHEN; FACULTY OF COMPUTER & SOFTWARE ENGINEERING, HUAIYIN INSTITUTE OF TECHNOLOGY, HUAIAN, 233003, CHINA; EMAIL: XAJCH0206@163.COM	10.3837/tiis.2019.06.029	NA	NA	19767277	KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS	ENGLISH	2	6	3299 – 3315	KOREAN SOCIETY FOR INTERNET INFORMATION	ISI	IDENTITYBASED DENIABLE AUTHENTICATED ENCRYPTION FOR EVOTING SYSTEMS	ARTICLE	13	2019	KSII TRANS INTERNET INF SYST	none	HUAIYIN INSTITUTE OF TECHNOLOGY	NOTREPORTED;HUAIYIN INSTITUTE OF TECHNOLOGY;NOTREPORTED	NA	JIN C, 2019, KSII TRANS INTERNET INF SYST	JIN C, 2019, KSII TRANS INTERNET INF SYST
